name,kind,height_in,wingspan_in,standing_reach_in,weight_lbs
Saddiq Bey,nba,78,82,,215
Miles Bridges,nba,78,82,,225
Naji Marshall,nba,79,82.5,,215
Aaron Nesmith,nba,78,82,,215
Derrick Jones Jr.,nba,79.5,84,,205
Matas Buzelis,nba,80.5,84,,205
Kyle Anderson,nba,80.5,85,,225
Caleb Martin,nba,77,81,,220
Dorian Finney-Smith,nba,79.5,83.5,,215
Herbert Jones,nba,79.5,84,,210
Bennedict Mathurin,nba,78.5,83,,215
Dyson Daniels,nba,78,82.5,,200
Bilal Coulibaly,nba,79,84,,195
Jake LaRavia,nba,80,84,,215
Ryan Dunn,nba,79.5,84,,200
Ausar Thompson,nba,79,84,,210
Dalton Knecht,nba,79,82.5,,210
Patrick Williams,nba,79.5,83.5,,215
Jonathan Isaac,nba,81,85.5,,210
Tari Eason,nba,79.5,84.5,,220
Jabari Smith Jr.,nba,81,84.5,,220
Julius Randle,nba,79,82,,250
Paolo Banchero,nba,81,84.5,,250
Giannis Antetokounmpo,nba,82.5,88.5,,243
Evan Mobley,nba,82.5,88,,215
Draymond Green,nba,78,81.5,,235
Aaron Gordon,nba,79.5,84,,235
Jarred Vanderbilt,nba,80,85,,215
Lauri Markkanen,nba,84,87,,240
Rudy Gobert,nba,85,90,,258
Karl-Anthony Towns,nba,83,87.5,,265
Nikola Jokić,nba,82.5,86.5,,284
Bam Adebayo,nba,80,84.5,,255
Joel Embiid,nba,83.5,87.5,,280
Nikola Vučević,nba,82,85.5,,260
Nic Claxton,nba,82.5,89.5,,215
Naz Reid,nba,81,85,,255
Myles Turner,nba,82,87,,250
Wendell Carter Jr.,nba,82,85.5,,265
Jarrett Allen,nba,82,87.5,,243
Donovan Clingan,nba,84,88.5,,250
Brook Lopez,nba,83.5,87,,282
Al Horford,nba,81,85.5,,245
Daniel Gafford,nba,82,88,,234
Ivica Zubac,nba,85,88.5,,240
Isaiah Hartenstein,nba,83,88,,243
Mark Williams,nba,84,89.5,,240
Alex Sarr,nba,83,88.5,,210
Kristaps Porziņģis,nba,85,89.5,,240
Jaxson Hayes,nba,83,87,,220
Clint Capela,nba,82,88,,255
Jakob Poeltl,nba,83,87.5,,258
Jonas Valančiūnas,nba,83,87.5,,265
Mitchell Robinson,nba,83,89.5,,240
Kel'el Ware,nba,84,88.5,,240
Derik Queen,nba,81,85.5,,245
Jusuf Nurkić,nba,83,86.5,,290
Onyeka Okongwu,nba,80,84.5,,245
Maxime Raynaud,nba,85.5,89.5,,240
Zach Edey,nba,87,92,,285
Walker Kessler,nba,84,91,,230
Anthony Davis,nba,82,87,,253
Jaren Jackson Jr.,nba,82.5,87.5,,245
Andre Drummond,nba,82,87.5,,280
Trayce Jackson-Davis,nba,81,84.5,,240
Ryan Kalkbrenner,nba,84.5,90,,250
Luke Kornet,nba,85,89.5,,240
Isaiah Jackson,nba,82.5,88.5,,215
Paul Reed,nba,81,86,,220
Johni Broome,nba,82,86.5,,240
Hunter Dickinson,nba,83.5,87.5,,260
Jalen Smith,nba,82,87,,235
Yves Missi,nba,83,89,,230
Mo Bamba,nba,83,94,,225
Khaman Maluach,nba,84.5,90,,235
Nick Richards,nba,83,87.5,,257
Kelly Olynyk,nba,83,86.5,,238
Adem Bona,nba,82,87.5,,235
Jonathan Mogbo,nba,81,85.5,,225
Asa Newell,nba,82,86.5,,220
Zach Collins,nba,84,87.5,,250
Shaedon Sharpe,nba,77.5,81.5,,196
Jalen Williams,nba,75.5,78.5,,194
Kevin Porter Jr.,nba,77,80.5,,195
Brandon Williams,nba,75,79,,192
Dillon Brooks,nba,78,81.5,,215
Marvin Bagley III,nba,82,84,,234
Bradley Beal,nba,75.25,79.5,,207
Ty Jerome,nba,76.5,80,,195
Caris LeVert,nba,78.75,81,,195
Alperen Sengun,nba,82.25,86,,264
Zion Williamson,nba,77.75,84.5,,284
